date,fjoldi,eigandi,tegund,value
2010,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.1
2010,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.1
2010,Sem eiga eina íbúð,Einstaklingar,fjoldi,82411
2010,Sem eiga eina íbúð,Lögaðilar,fjoldi,1811
2010,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,25807
2010,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,18057
2011,Sem eiga eina íbúð,Einstaklingar,hlutf,64.2
2011,Sem eiga eina íbúð,Lögaðilar,hlutf,1.4
2011,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.1
2011,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.3
2011,Sem eiga eina íbúð,Einstaklingar,fjoldi,82646
2011,Sem eiga eina íbúð,Lögaðilar,fjoldi,1832
2011,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,25929
2011,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,18385
2012,Sem eiga eina íbúð,Einstaklingar,hlutf,63.5
2012,Sem eiga eina íbúð,Lögaðilar,hlutf,1.5
2012,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.4
2012,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.6
2012,Sem eiga eina íbúð,Einstaklingar,fjoldi,82589
2012,Sem eiga eina íbúð,Lögaðilar,fjoldi,1929
2012,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,26490
2012,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,19034
2013,Sem eiga eina íbúð,Einstaklingar,hlutf,62.9
2013,Sem eiga eina íbúð,Lögaðilar,hlutf,1.6
2013,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.4
2013,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,15.1
2013,Sem eiga eina íbúð,Einstaklingar,fjoldi,82431
2013,Sem eiga eina íbúð,Lögaðilar,fjoldi,2090
2013,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,26736
2013,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,19776
2014,Sem eiga eina íbúð,Einstaklingar,hlutf,62.7
2014,Sem eiga eina íbúð,Lögaðilar,hlutf,1.7
2014,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.6
2014,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,15.1
2014,Sem eiga eina íbúð,Einstaklingar,fjoldi,82735
2014,Sem eiga eina íbúð,Lögaðilar,fjoldi,2234
2014,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,27176
2014,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,19910
2015,Sem eiga eina íbúð,Einstaklingar,hlutf,62.2
2015,Sem eiga eina íbúð,Lögaðilar,hlutf,1.9
2015,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.9
2015,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,15
2015,Sem eiga eina íbúð,Einstaklingar,fjoldi,82877
2015,Sem eiga eina íbúð,Lögaðilar,fjoldi,2488
2015,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,27818
2015,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,20017
2016,Sem eiga eina íbúð,Einstaklingar,hlutf,62
2016,Sem eiga eina íbúð,Lögaðilar,hlutf,2.1
2016,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.9
2016,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.9
2016,Sem eiga eina íbúð,Einstaklingar,fjoldi,83575
2016,Sem eiga eina íbúð,Lögaðilar,fjoldi,2881
2016,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,28149
2016,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,20085
2017,Sem eiga eina íbúð,Einstaklingar,hlutf,62
2017,Sem eiga eina íbúð,Lögaðilar,hlutf,2
2017,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.8
2017,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,15.1
2017,Sem eiga eina íbúð,Einstaklingar,fjoldi,84716
2017,Sem eiga eina íbúð,Lögaðilar,fjoldi,2760
2017,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,28420
2017,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,20645
2018,Sem eiga eina íbúð,Einstaklingar,hlutf,62.2
2018,Sem eiga eina íbúð,Lögaðilar,hlutf,2.1
2018,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.8
2018,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,14.9
2018,Sem eiga eina íbúð,Einstaklingar,fjoldi,86257
2018,Sem eiga eina íbúð,Lögaðilar,fjoldi,2844
2018,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,28834
2018,Sem eiga fleiri en eina íbúð,Lögaðilar,fjoldi,20719
2019,Sem eiga eina íbúð,Einstaklingar,hlutf,62.2
2019,Sem eiga eina íbúð,Lögaðilar,hlutf,2.1
2019,Sem eiga fleiri en eina íbúð,Einstaklingar,hlutf,20.7
2019,Sem eiga fleiri en eina íbúð,Lögaðilar,hlutf,15
2019,Sem eiga eina íbúð,Einstaklingar,fjoldi,88142
2019,Sem eiga eina íbúð,Lögaðilar,fjoldi,2959
2019,Sem eiga fleiri en eina íbúð,Einstaklingar,fjoldi,29378
